Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2019-08-13 17:25:07 UTC,,,10829.85,,,,,,
2019-08-13 17:25:08 UTC,,,10829.85,,,,,,
2019-08-13 17:25:09 UTC,,,,,10825.0,,,,
2019-08-13 17:25:10 UTC,,,10827.29,,10825.0,,,,
2019-08-13 17:25:11 UTC,,,,,10825.0,,,,
2019-08-13 17:25:12 UTC,,,,,10825.0,,,,
2019-08-13 17:25:13 UTC,,,,,10825.0,,,,
2019-08-13 17:25:14 UTC,,,,,10825.0,,,,
2019-08-13 17:25:16 UTC,,10885.96265991,,,10825.0,,,,
2019-08-13 17:25:19 UTC,,,,,10825.0,,,,
2019-08-13 17:25:20 UTC,,,,,10825.0,,,,
2019-08-13 17:25:21 UTC,,10885.0,,,10825.0,,,,
2019-08-13 17:25:22 UTC,,,,,10825.0,,,,10820.9
2019-08-13 17:25:23 UTC,,,10825.52,,10825.0,,,,
2019-08-13 17:25:25 UTC,,10886.0,,,10825.0,,,,
2019-08-13 17:25:26 UTC,,,,,10828.13,10822.04,,,
2019-08-13 17:25:27 UTC,,,,,,,,10822.0,
2019-08-13 17:25:28 UTC,,,,,10829.01,,,,
2019-08-13 17:25:29 UTC,,10886.0,,,,,10826.38,,
2019-08-13 17:25:30 UTC,,,,,10825.098,,10820.0,,
2019-08-13 17:25:31 UTC,,,,,10825.0,,,,10821.0
2019-08-13 17:25:33 UTC,,,,,10825.0,,,10818.25,
2019-08-13 17:25:35 UTC,,,,,10824.9966666667,,,10818.5,
2019-08-13 17:25:38 UTC,,,,,10825.0,,,,
2019-08-13 17:25:39 UTC,,,,,10821.1927272727,,,10818.5,
2019-08-13 17:25:40 UTC,,10885.0,10823.715,,,,,,
2019-08-13 17:25:44 UTC,,,,,10822.29,,,,
2019-08-13 17:25:45 UTC,,10885.981329955,,,,,,,10820.5
2019-08-13 17:25:47 UTC,,,,,10821.84,,,,10820.2666666667
2019-08-13 17:25:48 UTC,,,,,10821.72,,,,
2019-08-13 17:25:49 UTC,,10885.0,10825.37,,,,,,10820.2
2019-08-13 17:25:51 UTC,,,10825.37,,10821.39,,,,
2019-08-13 17:25:52 UTC,,10885.0,,,,,,,
2019-08-13 17:25:53 UTC,,,,,10821.2511111111,,,,
2019-08-13 17:25:54 UTC,,,,,10821.3433333333,,,,10820.1
2019-08-13 17:25:56 UTC,,10881.391240362,,,10820.145,,,,
2019-08-13 17:25:57 UTC,,10877.0,,,10822.14,,,,
2019-08-13 17:25:58 UTC,,10884.0,,,,,,,
2019-08-13 17:26:01 UTC,,,10823.83,,,,,10817.75,
2019-08-13 17:26:04 UTC,,,,,,,10823.85,,
2019-08-13 17:26:06 UTC,,10883.0,,,,,,,
